scrub	user_id	name	screen_name	location	description	url	protected	followers_count	friends_count	listed_count	created_at	favourites_count	utc_offset	time_zone	geo_enabled	verified	statuses_count	lang	contributors_enabled	is_translator	is_translation_enabled	profile_background_color	profile_background_image_url	profile_background_image_url_https	profile_background_tile	profile_image_url	profile_image_url_https	profile_banner_url	profile_link_color	profile_sidebar_border_color	profile_sidebar_fill_color	profile_text_color	profile_use_background_image	has_extended_profile	default_profile	default_profile_image	following	follow_request_sent	notifications	translator_type	n	prop
0	807095	The New York Times	nytimes	New York City	News tips? Share them here: https://t.co/ghL9OoYKMM	http://t.co/ahvuWqicF9	FALSE	50118378	838	209979	3/2/07 20:41	18542			FALSE	TRUE	440028		FALSE	FALSE	TRUE	131516	http://abs.twimg.com/images/themes/theme14/bg.gif	https://abs.twimg.com/images/themes/theme14/bg.gif	TRUE	http://pbs.twimg.com/profile_images/1098244578472280064/gjkVMelR_normal.png	https://pbs.twimg.com/profile_images/1098244578472280064/gjkVMelR_normal.png	https://pbs.twimg.com/profile_banners/807095/1584666392	607696	FFFFFF	EFEFEF	333333	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	none	190	0.429864253
0	2467791	The Washington Post	washingtonpost	Washington, DC	Democracy Dies in Darkness.	http://t.co/Hq7hTYkOPg	FALSE	18059624	1718	102391	3/27/07 11:19	4298			TRUE	TRUE	396401		FALSE	FALSE	TRUE	333333	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/1060271522319925257/fJKwJ0r2_normal.jpg	https://pbs.twimg.com/profile_images/1060271522319925257/fJKwJ0r2_normal.jpg	https://pbs.twimg.com/profile_banners/2467791/1469484132	0057EC	FFFFFF	DBDBDB	323232	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	regular	170	0.384615385
0	759251	CNN	CNN	""	It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK & download our app https://t.co/UCHG9M367J	http://t.co/IaghNW8Xm2	FALSE	54152672	1102	149226	2/9/07 0:35	1405			TRUE	TRUE	347256		FALSE	FALSE	TRUE	323232	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg	https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg	https://pbs.twimg.com/profile_banners/759251/1624311855	4287	0	EEEEEE	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	regular	163	0.368778281
0	428333	CNN Breaking News	cnnbrk	Everywhere	Breaking news from CNN Digital. Now 61M strong. Check @cnn for all things CNN, breaking and more. Download the app for custom alerts: https://t.co/8bf79vV51N	http://t.co/HjKR4r61U5	FALSE	61118837	119	189137	1/2/07 1:48	27			FALSE	TRUE	75693		FALSE	FALSE	TRUE	323232	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/925092227667304448/fAY1HUu3_normal.jpg	https://pbs.twimg.com/profile_images/925092227667304448/fAY1HUu3_normal.jpg	https://pbs.twimg.com/profile_banners/428333/1531855520	4287	DADADA	EEEEEE	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	regular	159	0.359728507
0	742143	BBC News (World)	BBCWorld	London, UK	News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport	https://t.co/7NEgoMwJy3	FALSE	32353603	18	124822	2/1/07 7:44	13			TRUE	TRUE	330709		FALSE	FALSE	TRUE	FFFFFF	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/1150717770478379008/8-XiwK-s_normal.png	https://pbs.twimg.com/profile_images/1150717770478379008/8-XiwK-s_normal.png	https://pbs.twimg.com/profile_banners/742143/1621582392	1F527B	FFFFFF	FFFFFF	5A5A5A	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	none	156	0.352941176
0	1652541	Reuters	Reuters	Around the world	Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.	http://t.co/BmHxhkm3Mh	FALSE	23586590	1167	128100	3/20/07 17:46	755			FALSE	TRUE	720300		FALSE	FALSE	TRUE	444444	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/1194751949821939712/3VBu4_Sa_normal.jpg	https://pbs.twimg.com/profile_images/1194751949821939712/3VBu4_Sa_normal.jpg	https://pbs.twimg.com/profile_banners/1652541/1573687397	006F97	0	F5F5F5	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	regular	148	0.334841629
0	5402612	BBC Breaking News	BBCBreaking	London, UK	Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.	http://t.co/vBzl7LOaso	FALSE	47944280	3	141959	4/22/07 14:42	0			FALSE	TRUE	37361		FALSE	FALSE	TRUE	FFFFFF	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/1150716997254209536/M7gkjsv5_normal.jpg	https://pbs.twimg.com/profile_images/1150716997254209536/M7gkjsv5_normal.jpg	https://pbs.twimg.com/profile_banners/5402612/1621582419	1F527B	FFFFFF	FFFFFF	5A5A5A	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	none	147	0.332579186
0	51241574	The Associated Press	AP	Global	News from The Associated Press, and a taste of the great journalism produced by AP members and customers.	https://t.co/48pFaJVRcr	FALSE	15215167	6873	100598	6/26/09 21:48	3467			FALSE	TRUE	295234		FALSE	FALSE	TRUE	333333	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/461964160838803457/8z9FImcv_normal.png	https://pbs.twimg.com/profile_images/461964160838803457/8z9FImcv_normal.png	https://pbs.twimg.com/profile_banners/51241574/1605555656	CC3300	FFFFFF	CCCCCC	333333	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	none	147	0.332579186
0	3108351	The Wall Street Journal	WSJ	New York, NY	Sign up for our newsletters and email alerts: https://t.co/WFU7oLKkip	https://t.co/GhhR6PLfem	FALSE	18889971	1041	121180	4/1/07 6:22	1161			TRUE	TRUE	345195		FALSE	FALSE	TRUE	EDF2F5	http://abs.twimg.com/images/themes/theme14/bg.gif	https://abs.twimg.com/images/themes/theme14/bg.gif	FALSE	http://pbs.twimg.com/profile_images/971415515754266624/zCX0q9d5_normal.jpg	https://pbs.twimg.com/profile_images/971415515754266624/zCX0q9d5_normal.jpg	https://pbs.twimg.com/profile_banners/3108351/1562333209	1164B8	FFFFFF	EFEFEF	333333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	regular	143	0.323529412
0	1367531	Fox News	FoxNews	U.S.A.	Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/3gb0b8MMza	http://t.co/ZYG58XZtAC	FALSE	20115932	261	68967	3/17/07 19:01	2			TRUE	TRUE	430100		FALSE	FALSE	TRUE	0E2331	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/918480715158716419/4X8oCbge_normal.jpg	https://pbs.twimg.com/profile_images/918480715158716419/4X8oCbge_normal.jpg	https://pbs.twimg.com/profile_banners/1367531/1492649996	183A52	FFFFFF	F4F4F4	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	regular	127	0.287330317
