"","twitter_handle","user_id","tweetscore","X1","X2"
"1","briebriejoy","1332630685",-1.06469838245359,-4.22892347426223,0.225790008712953
"2","virgiltexas","15970820",-1.8456152206496,-4.92928065831489,1.12284977160524
"3","willmenaker","1450298610",0.745822616188012,-6.96025042899582,2.37395964648721
"4","davidklion","25466022",-1.84374648281173,-2.52529917124439,1.94362462088814
"5","byyourlogic","4726207589",-2.06850851184541,-5.90342867078211,1.55836683260488
"6","ryangrim","16170253",1.0181967557789,-1.77289475326869,-0.134599464643204
"7","kylekulinski","143104075",0.0139937627999119,-5.89943527575466,-1.4424003043095
"8","benjaminpdixon","2949261587",-1.96716190486252,-4.43570425709496,0.315007725069661
"9","krystalball","21862217",-1.6863993517103,-2.51674795258766,-0.455885284011226
"10","kenklippenstein","1634248890",-1.55642097659083,-4.86076255213677,2.15977527282704
"11","cushbomb","21970248",-1.81800635751602,-5.94266545655643,1.94580323624045
"12","ryanlcooper","214120461",-0.763224978936992,-3.05160582462938,1.40168167052425
"13","ninaturner","188793260",-1.97899158131962,-2.88388301390094,-0.232870008248203
"14","alexnpress","2789857374",-2.05464090958854,-4.63701515296914,1.60998419395659
"15","ebruenig","1471542956",0.450947585141729,-2.65610099519013,-0.0204155831046227
"16","jordanuhl","68752979",-0.390711775767525,-3.15508937659134,2.24859207361587
"17","adamjohnsonnyc","756331316",-1.40203627481883,-5.04997090768474,1.4234635275801
"18","mattbruenig","327337127",-1.7504463285206,-3.58737183786283,0.831062147128762
"19","mtaibbi","38271276",0.84845288032285,-2.85828240430306,-2.02320030599284
"20","davidsirota","14855994",-1.5367314755015,-3.66370755835388,0.0889447998462498
"21","naomiaklein","189376144",-2.09196420803186,-2.94947548503689,0.809911627086957
"22","sunraysunray","33805522",-1.76846856863697,-3.97989253986118,0.440322200202175
"23","samseder","15473574",-0.829665226695901,-2.29569083074881,0.991836008570237
"24","meaganmday","547007735",-2.38873494011142,-5.41607905303345,0.666438409490561
"25","kthalps","15859912",-0.290429593108454,-4.21848692722641,-0.0163180987714279
"26","chrislhayes","4207961",-1.30675266548517,-0.935759542675867,0.9022890541063
"27","nathanjrobinson","197080008",-1.31359271658155,-2.78555171086004,-0.0914670917031423
"28","seanmcelwee","318692762",-0.90141197915098,-1.78274466710482,1.03581041907933
"29","mmflint","20479813",-1.80390210383425,-1.85285690296461,-0.106219410160898
"30","hasanthehun","326756275",-0.565724181825582,-5.09540052733376,1.7709248148108
"31","drmistercody","36618079",0.459822505760871,-3.29252329696131,2.92059287177717
"32","nomikikonst","16879936",0.485463294392066,-2.94613621819613,-0.571892879255729
"33","heerjeet","604940737",-2.01472943918304,-1.80478232576111,1.26593718238057
"34","cenkuygur","429227921",-1.84014596593961,-2.37221650526692,-0.760508936240991
"35","micahuetricht","195631270",-1.18332251993079,-3.99432537157652,0.55112893124794
"36","lukewsavage","283258239",-1.44230544652715,-6.09927540519579,0.792617959448766
