meta_id	user_id	screen_name	moc_117	moc_116	pundit	covid_elite	president	media	candidate	governor	official	phi	phi_2
MS11794659	21111098	SenShelby	1	1	0	0	0	0	0	0	0	0.6801745708580228	1.6850814205129363
MS11749703	19726613	SenatorCollins	1	1	0	0	0	0	1	0	0	0.0068138520918739716	0.10439895029713141
MS11749308	293131808	PattyMurray	1	1	0	1	0	0	0	0	0	-0.6841085403770694	0.6119055219003163
MS11749300	476256944	SenFeinstein	1	1	0	0	0	0	0	0	0	-0.7440009919788663	-0.4311769351317184
MS11742102	110798061	TTuberville	1	0	0	0	0	0	1	0	0	1.5168921360082466	-0.7379861229930944
MS11742102	1345739193721487362	SenTuberville	1	0	0	0	0	0	1	0	0	1.5168921360082466	-0.7379861229930944
MS11742101	117839957	Hickenlooper	1	0	0	0	0	0	1	0	0	-0.6290272864335483	0.05514217226602157
MS11742101	1318728336923787264	SenatorHick	1	0	0	0	0	0	1	0	0	-0.6290272864335483	0.05514217226602157
MS11742100	1152598802873880576	BillHagertyTN	1	0	0	1	0	0	1	0	0	1.8107148257060501	-0.5930679053658555
MS11742100	1346873610875654147	SenatorHagerty	1	0	0	0	0	0	1	0	0	1.8107148257060501	-0.5930679053658555
MS11741905	1324926274888888320	SenMarkKelly	1	1	0	0	0	0	1	0	0	-0.8418218300052484	-0.2060021970953155
MS11741903	131546062	SenRickScott	1	1	0	0	0	0	0	0	0	0.9798047083385502	-0.7239269886970068
MS11741902	50055701	MittRomney	1	1	0	0	0	0	0	0	0	0.2280081029744765	-0.9728816851042905
MS11741902	1078693601356509184	SenatorRomney	1	1	0	0	0	0	0	0	0	0.2280081029744765	-0.9728816851042905
MS11741901	1080960924687704064	SenHawleyPress	1	1	0	0	0	0	0	0	0	1.6068900502554802	-0.9161561556774729
MS11741901	2352629311	HawleyMO	1	1	0	1	0	0	0	0	0	1.6068900502554802	-0.9161561556774729
MS11741900	1080870981877534720	SenatorBraun	1	1	0	0	0	0	0	0	0	1.0703009777853318	0.7077038958413948
MS11741707	262192574	cindyhydesmith	1	1	0	0	0	0	0	0	0	1.3095107404391944	0.554169708995357
MS11741707	983348251972816896	SenHydeSmith	1	1	0	0	0	0	1	0	0	1.3095107404391944	0.554169708995357
MS11741706	941000686275387392	SenTinaSmith	1	1	0	0	0	0	0	0	0	-0.7922110908516159	-0.09314630203287234
MS11741706	47724293	TinaSmithMN	1	1	0	0	0	0	1	0	0	-0.7922110908516159	-0.09314630203287234
MS11741703	816683274076614656	SenJohnKennedy	1	1	0	0	0	0	0	0	0	1.4949245404617513	-0.3617233213638144
MS11741702	946549322	SenatorHassan	1	1	0	0	0	0	0	0	0	-0.5626606912150384	1.1051738556461965
MS11741701	30354991	KamalaHarris	1	1	0	1	0	0	0	0	0	-0.8252394154419359	-1.4230579162224215
MS11741700	3145735852	CatherineforNV	1	1	0	0	0	0	0	0	0	-0.6432287713262063	0.8210934880723672
MS11741700	811313565760163844	SenCortezMasto	1	1	0	0	0	0	0	0	0	-0.6432287713262063	0.8210934880723672
MS11741505	2955485182	SenatorRounds	1	1	0	0	0	0	1	0	0	0.5561925776604966	1.7266687127425564
MS11741504	22195441	ThomTillis	1	1	0	0	0	0	0	0	0	0.8385203408941927	0.661150466703668
MS11741504	2964174789	SenThomTillis	1	1	0	0	0	0	1	0	0	0.8385203408941927	0.661150466703668
MS11741503	2962923040	SenSasse	1	1	0	0	0	0	1	0	0	0.2651346573814563	-0.1851445224547402
MS11741503	1480852568	BenSasse	1	1	0	0	0	0	1	0	0	0.2651346573814563	-0.1851445224547402
MS11741502	2856787757	SenJoniErnst	1	1	0	0	0	0	1	0	0	1.0613535817405964	0.2499421005087909
MS11741502	1383059977	joniernst	1	1	0	0	0	0	1	0	0	1.0613535817405964	0.2499421005087909
MS11741500	2891210047	SenDanSullivan	1	1	0	0	0	0	1	0	0	0.4878944458047848	1.7506699393123988
MS11741308	15808765	CoryBooker	1	1	0	1	0	0	1	0	0	-0.7716974490320836	-0.9558955888249853
MS11741308	2167097881	SenBooker	1	1	0	0	0	0	0	0	0	-0.7716974490320836	-0.9558955888249853
MS11741305	172858784	timkaine	1	1	0	0	0	0	0	0	0	-0.7364281587045357	-0.42821304663692256
MS11741304	1074480192	SenTedCruz	1	1	0	1	0	0	0	0	0	1.1154354420304688	-1.3996881933527232
MS11741304	23022687	tedcruz	1	1	0	1	0	0	0	0	0	1.1154354420304688	-1.3996881933527232
MS11741302	1071402577	SenatorFischer	1	1	0	0	0	0	0	0	0	0.4911416485182795	1.6461605784012485
MS11741301	357606935	ewarren	1	1	0	1	0	0	0	0	0	-0.8108164678434318	-1.3794560766721509
MS11741301	970207298	SenWarren	1	1	0	1	0	0	0	0	0	-0.8108164678434318	-1.3794560766721509
MS11741300	1068481578	SenAngusKing	1	1	0	0	0	0	0	0	0	-0.49148549027197785	0.97388508459647
MS11741112	1262099252	SenBrianSchatz	1	1	0	0	0	0	0	0	0	-0.8137170049957564	0.06764257745427739
MS11741112	47747074	brianschatz	1	1	0	1	0	0	0	0	0	-0.8137170049957564	0.06764257745427739
MS11741111	142332083	RonJohnsonWI	1	1	0	0	0	0	0	0	0	0.8785152294333858	0.7247694061325091
MS11741111	233737858	SenRonJohnson	1	1	0	0	0	0	0	0	0	0.8785152294333858	0.7247694061325091
MS11741110	88784440	SenMikeLee	1	1	0	0	0	0	0	0	0	1.2892408096814214	-0.6394341433810368
MS11741107	382791093	SenJohnHoeven	1	1	0	0	0	0	0	0	0	0.44641204548632685	1.8988697494057185
MS11741104	216881337	RandPaul	1	1	0	1	0	0	0	0	0	1.0943126718265306	-1.2469364180963105
MS11741102	15745368	marcorubio	1	1	0	1	0	0	0	0	0	0.8150333206274032	-1.1804151676712287
MS11741101	278124059	SenBlumenthal	1	1	0	1	0	0	0	0	0	-0.7009166269616836	0.38038409215519847
MS11740916	15324851	ChrisCoons	1	1	0	0	0	0	1	0	0	-0.5359309400991744	1.0964510823244724
MS11740915	234374703	Sen_JoeManchin	1	1	0	1	0	0	0	0	0	0.059467028801223044	0.8981243827308258
MS11740910	45645232	MichaelBennet	1	1	0	0	0	0	0	0	0	-0.6330264710879523	0.38463426301682724
MS11740910	224285242	SenatorBennet	1	1	0	0	0	0	0	0	0	-0.6330264710879523	0.38463426301682724
MS11740909	7429102	MarkWarner	1	1	0	0	0	0	1	0	0	-0.6145026332902561	0.5447515970258803
MS11740908	29201047	SenJeffMerkley	1	1	0	1	0	0	0	0	0	-0.7330241275195468	0.42353394481266016
MS11740908	223166587	JeffMerkley	1	1	0	0	0	0	1	0	0	-0.7330241275195468	0.42353394481266016
MS11740906	109287731	SenatorShaheen	1	1	0	1	0	0	0	0	0	-0.4484292443480801	1.4402440347710006
MS11740902	1096059529	SenatorRisch	1	1	0	0	0	0	1	0	0	0.4389835936291978	2.0393101492097174
MS11740707	202206694	SenJohnBarrasso	1	1	0	0	0	0	0	0	0	0.7465992853638419	1.586653499945422
MS11740704	242555999	SenWhitehouse	1	1	0	1	0	0	0	0	0	-0.71346067614131925	0.6349578516033301
MS11740703	171598736	SenBobCasey	1	1	0	1	0	0	0	0	0	-0.5660895926794729	0.582270288720157
MS11740702	515822213	SenatorTester	1	1	0	0	0	0	0	0	0	-0.5037027497869772	0.9659109729385492
MS11740700	33537967	amyklobuchar	1	1	0	1	0	0	0	0	0	-0.762153827311597	-0.6659888483106741
MS11740700	22044727	SenAmyKlobuchar	1	1	0	0	0	0	0	0	0	-0.762153827311597	-0.6659888483106741
MS11740305	13218102	JohnCornyn	1	1	0	0	0	0	1	0	0	1.024220228196521	-0.006172843467049363
MS11740300	18061669	lisamurkowski	1	1	0	0	0	0	0	0	0	-0.2046911057006007	0.49554143779569754
MS11739310	117501995	SenatorCantwell	1	1	0	0	0	0	0	0	0	-0.6318201738126746	0.7441930971085629
MH11739307	161791703	BobbyScott	1	1	0	0	0	0	0	0	0	-0.4822140498582766	1.7666268673548176
MH11739305	168502762	RepEBJ	1	1	0	0	0	0	0	0	0	-0.5001041873630351	1.779420433235629
MH11739301	188019606	WhipClyburn	1	1	0	0	0	0	0	0	0	-0.6604110947688321	0.7991702230710825
MH11731103	1155335864	RepDonaldPayne	1	1	0	0	0	0	0	0	0	-0.4440823367001323	2.1631894888450596
MH11731102	975200486	RepThomasMassie	1	1	0	1	0	0	0	0	0	1.2990720871719972	-0.4606214058702482
MH11731101	995193054	RepDelBene	1	1	0	0	0	0	0	0	0	-0.5501523434857625	1.596609294003106
MS11729940	87510313	tammybaldwin	1	1	0	0	0	0	0	0	0	-0.6635307156001626	0.536618707388555
MS11729940	1074518754	SenatorBaldwin	1	1	0	0	0	0	0	0	0	-0.6635307156001626	0.536618707388555
MS11729935	221162525	SenToomey	1	1	0	0	0	0	0	0	0	0.17496841603701435	0.8702925851033622
MH11729911	24195214	janschakowsky	1	1	0	0	0	0	0	0	0	-0.6702540817760804	1.1758049531887191
MH11729910	76132891	CongMikeSimpson	1	1	0	0	0	0	0	0	0	0.4312798853809128	2.513413973490996
MH11729908	50452197	RepJohnLarson	1	1	0	0	0	0	0	0	0	-0.4828231830848114	1.8860927950267388
MH11729903	161411080	gracenapolitano	1	1	0	0	0	0	0	0	0	-0.47537743284575945	2.47360366909994
MH11729901	303861808	RepThompson	1	1	0	0	0	0	0	0	0	-0.4829823484354834	2.099533298038413
MH11729778	248735463	RepBarbaraLee	1	1	0	0	0	0	0	0	0	-0.8188252424174145	0.3205233654792454
MH11729776	22812754	RepGregoryMeeks	1	1	0	0	0	0	0	0	0	-0.5048977273840184	1.846285283400931
MH11729769	112740986	RepRonKind	1	1	0	0	0	0	0	0	0	-0.3192320242727188	1.775175780177357
MH11729768	58928690	RepAdamSmith	1	1	0	0	0	0	0	0	0	-0.5414035881037408	1.6169272129220775
MH11729762	161743731	RepKayGranger	1	1	0	0	0	0	0	0	0	0.7470989811861768	2.2382722967893662
MH11729760	19926675	RepKevinBrady	1	1	0	0	0	0	0	0	0	1.206204394671924	1.3403595110984532
MH11729759	24735461	PeteSessions	1	0	0	0	0	0	0	0	0	0.8714476930025891	1.8734289024061306
MS11729754	296361085	SenJohnThune	1	1	0	1	0	0	0	0	0	0.806357120743552	1.189747952104463
MH11729741	74508260	BillPascrell	1	1	0	1	0	0	0	0	0	-0.7162675241684029	0.9160422801223846
MS11729735	21269970	RoyBlunt	1	1	0	0	0	0	0	0	0	0.5346235011807887	1.3867411616578518
MS11729732	20113797	stabenow	1	1	0	0	0	0	0	0	0	-0.5743045024535057	0.7177124026878707
MS11729732	76456274	SenStabenow	1	1	0	0	0	0	0	0	0	-0.5743045024535057	0.7177124026878707
MH11729729	242426145	RepMcGovern	1	1	0	0	0	0	0	0	0	-0.6783602696167651	1.0138707534691562
MS11729722	18632666	JerryMoran	1	1	0	0	0	0	0	0	0	0.4386756921966581	1.7247985422024108
MH11729717	789244177	RepDannyDavis	1	1	0	0	0	0	0	0	0	-0.5174811557597139	1.9612531860815705
MH11729710	28599820	RepDianaDeGette	1	1	0	0	0	0	0	0	0	-0.49638150783878293	1.1665816063740917
MH11729707	30216513	BradSherman	1	1	0	0	0	0	0	0	0	-0.5024169395407079	1.6490561354362443
MH11729701	76452765	Robert_Aderholt	1	1	0	0	0	0	0	0	0	0.8110430314534055	2.9046622909562694
MH11729588	15954997	repblumenauer	1	1	0	0	0	0	0	0	0	-0.6759015014471218	0.9246835045363693
MH11729573	80612021	JacksonLeeTX18	1	1	0	0	0	0	0	0	0	-0.6114475926703639	1.1060528849913127
MH11729571	153944899	RepLloydDoggett	1	1	0	0	0	0	0	0	0	-0.5042154739517367	0.9430080156282111
MS11729566	432895323	LindseyGrahamSC	1	1	0	1	0	0	1	0	0	1.1197607182453955	-1.2864206315584195
MS11729566	14845376	GrahamBlog	1	0	0	0	0	0	0	0	0	1.1197607182453955	-1.2864206315584195
MH11729561	39249305	USRepMikeDoyle	1	1	0	0	0	0	0	0	0	-0.39846357419607703	1.4542196574762418
MH11729550	237750442	RepSteveChabot	1	1	0	0	0	0	0	0	0	0.7815021509752053	2.354545298145636
MS11729548	21157904	SenatorBurr	1	1	0	0	0	0	0	0	0	0.25686050264380356	1.0062664649282023
MS11729534	264219447	SenatorWicker	1	1	0	0	0	0	0	0	0	0.5530926291705216	1.9876492044332421
MH11729504	267938462	RepZoeLofgren	1	1	0	0	0	0	0	0	0	-0.6234957910784578	1.5808811486705854
MH11729393	242772524	RepFrankLucas	1	1	0	0	0	0	0	0	0	0.6919163379402371	2.4340798923330875
MS11729389	24768753	sherrodbrown	1	1	0	0	0	0	0	0	0	-0.6879065692233124	0.22634441702249705
MS11729389	43910797	SenSherrodBrown	1	1	0	1	0	0	0	0	0	-0.6879065692233124	0.22634441702249705
MS11729386	18915145	senrobportman	1	1	0	0	0	0	0	0	0	0.33432431193223555	0.7921921402459713
MH11729379	258900199	RepMaloney	1	1	0	0	0	0	0	0	0	-0.7192823611642342	0.9159800370656025
MH11729379	119250381	CarolynBMaloney	1	1	0	0	0	0	0	0	0	-0.7192823611642342	0.9159800370656025
MH11729378	164369297	NydiaVelazquez	1	1	0	0	0	0	0	0	0	-0.7358753299048317	0.7387253710790734
MH11729377	40302336	RepJerryNadler	1	1	0	1	0	0	0	0	0	-0.772680587880676	0.14495391524552745
MS11729373	18695134	SenatorMenendez	1	1	0	0	0	0	0	0	0	-0.4877347704658869	0.7954554510610798
MH11729368	82453460	BennieGThompson	1	1	0	0	0	0	0	0	0	-0.4397359662037015	1.9497640067940287
MH11729346	305216911	RepBobbyRush	1	1	0	0	0	0	0	0	0	-0.6201081188493806	1.4636680411376535
MS11729345	600463589	MikeCrapo	1	1	0	0	0	0	0	0	0	0.5008089253431971	1.896170788101834
MH11729339	249410485	SanfordBishop	1	1	0	0	0	0	0	0	0	-0.3243115165480115	2.649483418729185
MH11729323	22545491	KenCalvert	1	1	0	0	0	0	0	0	0	0.6138876487363434	2.602526306482015
MH11729317	479872233	RepRoybalAllard	1	1	0	0	0	0	0	0	0	-0.441719614537563	2.428196812223709
MH11729312	249348006	RepAnnaEshoo	1	1	0	0	0	0	0	0	0	-0.5482422414610916	1.7586241171543757
MS11729147	29442313	SenSanders	1	1	0	1	0	0	0	0	0	-0.745662103073747	-1.4706772651260267
MS11729147	216776631	BernieSanders	1	1	0	1	0	0	0	0	0	-0.745662103073747	-1.4706772651260267
MS11729142	486694111	SenJackReed	1	1	0	0	0	0	1	0	0	-0.46634494770670376	1.465384079939861
MH11729109	140519774	rosadelauro	1	1	0	0	0	0	0	0	0	-0.6395229727334113	1.1822078575918302
MH11729106	36686040	RepMaxineWaters	1	1	0	1	0	0	0	0	0	-0.852936737063197	-0.7103756794985407
MH11722156	36424664	NikemaWilliams	1	0	0	0	0	0	0	0	0	-0.8295159084275924	0.46503366980596844
MH11722156	1345461797361504259	RepNikema	1	0	0	0	0	0	0	0	0	-0.8295159084275924	0.46503366980596844
MH11722155	489856457	Bethvanduyne	1	0	0	0	0	0	0	0	0	1.7573662789610731	-0.39358933514361866
MH11722155	1339633259349745670	RepBethVanDuyne	1	0	0	0	0	0	0	0	0	1.7573662789610731	-0.39358933514361866
MH11722154	1247612029	RitchieTorres	1	0	0	0	0	0	0	0	0	-0.7938793244514868	0.022511077102167616
MH11722154	1276403757224546304	RepRitchie	1	0	0	0	0	0	0	0	0	-0.7938793244514868	0.022511077102167616
MH11722153	1343646545955213312	RepStricklandWA	1	0	0	0	0	0	0	0	0	-0.7198788518286873	0.8511052919230885
MH11722153	1206654366758785024	StricklandforWA	1	0	0	0	0	0	0	0	0	-0.7198788518286873	0.8511052919230885
MH11722152	1122934522134315009	MichelleSteelCA	1	0	0	0	0	0	0	0	0	1.8052970248300602	-0.5121468269275091
MH11722152	1343740146630451200	RepSteel	1	0	0	0	0	0	0	0	0	1.8052970248300602	-0.5121468269275091
MH11722151	1205364420	Victoria_Spartz	1	0	0	0	0	0	0	0	0	1.6653932334183421	-0.30567587902205523
MH11722151	1344845201479663621	RepSpartz	1	0	0	0	0	0	0	0	0	1.6653932334183421	-0.30567587902205523
MH11722150	40282700	MaElviraSalazar	1	0	0	0	0	0	0	0	0	1.7183398278200213	-1.16236640781788
MH11722150	1325928411689349120	RepMariaSalazar	1	0	0	0	0	0	0	0	0	1.7183398278200213	-1.16236640781788
MH11722149	3806081652	DeborahRossNC	1	0	0	0	0	0	0	0	0	-0.6343354747041154	0.4046668653552206
MH11722149	1348683154815655940	RepDeborahRoss	1	0	0	0	0	0	0	0	0	-0.6343354747041154	0.4046668653552206
MH11722148	1344751420139040783	RepRosendale	1	0	0	0	0	0	1	0	0	NA	NA
MH11722147	1021216905795899392	AugustPfluger	1	0	0	0	0	0	0	0	0	2.0534783594132056	0.02197464318218195
MH11722147	1341120751399809026	RepPfluger	1	0	0	0	0	0	0	0	0	2.0534783594132056	0.02197464318218195
MH11722146	779104195	BurgessOwens	1	0	0	0	0	0	0	0	0	2.037250546496985	-1.535950751011065
MH11722146	1344481217685692416	RepBurgessOwens	1	0	0	0	0	0	0	0	0	2.037250546496985	-1.535950751011065
MH11722145	272482466	JayObernolte	1	0	0	0	0	0	0	0	0	0.35549837506528603	0.7927316191705732
MH11722145	1291597452357771264	TeamObernolte	1	0	0	0	0	0	0	0	0	0.35549837506528603	0.7927316191705732
MH11722144	1343578440977494018	RepMarieNewman	1	0	0	0	0	0	0	0	0	NA	NA
MH11722143	3299995136	SheriffTNehls	1	0	0	0	0	0	0	0	0	1.2304740670653829	-0.6797584700890357
MH11722143	1347318288850825217	RepTroyNehls	1	0	0	0	0	0	0	0	0	1.2304740670653829	-0.6797584700890357
MH11722142	1346205046036377601	RepMrvan	1	0	0	0	0	0	0	0	0	NA	NA
MH11722141	1337452596093587462	RepBlakeMoore	1	0	0	0	0	0	0	0	0	NA	NA
MH11722140	1339006078688825344	RepBarryMoore	1	0	0	0	0	0	0	0	0	NA	NA
MH11722139	1345807954604412929	RepMMM	1	0	0	0	0	0	0	0	0	1.3056480612765535	0.21437721985265784
MH11722139	18131106	millermeeks	1	0	0	0	0	0	0	0	0	1.3056480612765535	0.21437721985265784
MH11722138	1343656635907125250	RepMaryMiller	1	0	0	0	0	0	0	0	0	NA	NA
MH11722137	1334164871420796928	RepMeijer	1	0	0	0	0	0	0	0	0	NA	NA
MH11722136	1344032292432437248	RepLisaMcClain	1	0	0	0	0	0	0	0	0	NA	NA
MH11722135	936626346553413633	KathyManningNC	1	0	0	0	0	0	0	0	0	-0.755489173996759	1.0888057445352939
MH11722135	1337115670161608712	RepKManning	1	0	0	0	0	0	0	0	0	-0.755489173996759	1.0888057445352939
MH11722134	1345825008887721986	RepMann	1	0	0	0	0	0	0	0	0	NA	NA
MH11722133	757862089	NMalliotakis	1	0	0	0	0	0	0	0	0	1.1801785998405308	-0.578994011322979
MH11722133	1344750588026900481	RepMalliotakis	1	0	0	0	0	0	0	0	0	1.1801785998405308	-0.578994011322979
MH11722132	914815520842616834	NancyMace	1	0	0	0	0	0	0	0	0	1.6396018735155267	-0.20542294257117022
MH11722132	1343597700542038017	RepNancyMace	1	0	0	0	0	0	0	0	0	1.6396018735155267	-0.20542294257117022
MH11722131	1345147845926670337	RepTeresaLF	1	0	0	0	0	0	0	0	0	-0.8807957883347078	0.7642065521951038
MH11722131	1128147829606600706	TeresaForNM	1	0	0	0	0	0	0	0	0	-0.8807957883347078	0.7642065521951038
MH11722130	1082329240681492481	JakeLaTurner	1	0	0	0	0	0	0	0	0	1.2785030637372738	1.1976239614079411
MH11722130	1345850704800468993	RepLaTurner	1	0	0	0	0	0	0	0	0	1.2785030637372738	1.1976239614079411
MH11722129	2355919591	YoungKimCA	1	0	0	0	0	0	0	0	0	1.4315062153344567	-0.20503532717999656
MH11722129	1344677401465397249	RepYoungKim	1	0	0	0	0	0	0	0	0	1.4315062153344567	-0.20503532717999656
MH11722128	4863545294	kaikahele	1	0	0	0	0	0	0	0	0	-0.8924018743029853	0.38833840218418725
MH11722127	1345883634046279681	RepMondaire	1	0	0	0	0	0	0	0	0	-0.9057716398765824	0.009518966795032398
MH11722127	872143958847045632	MondaireJones	1	0	0	0	0	0	0	0	0	-0.9057716398765824	0.009518966795032398
MH11722126	1345103905869455361	RepSaraJacobs	1	0	0	0	0	0	0	0	0	-0.7420178661708116	0.7328007643689057
