screen_name	user_id	politician	phi	phi_2
_wyattstorch	109782727	0	-1.4543026716673693	0.758428504614376
140elect	15259328	0	NA	NA
2nd_to_none	842217397	0	-1.4464290347654838	0.7615200225152418
3quarters2day	33079769	0	-1.144937259449947	0.8461598758949104
aacons	25770408	0	-1.4226146940947577	0.4659312617968016
aaronrobinow	632466068	0	-1.4165790554243303	0.7528607177212068
abc	28785486	0	0.7471364157282854	0.6104871342592455
abfalecbaldwin	288452305	0	1.0157905948547037	0.5775295101378959
aclu	13393052	0	1.1132957146896443	0.4437073464078156
actuallynph	90420314	0	0.9684947433698256	0.8265294954527747
adambaldwin	91279573	0	-1.1334553616776906	1.0764043662007194
adamgreenpress	325118816	0	0.9929259467287064	-0.13489542081392755
aei	30864583	0	-0.35052207950829595	0.047863847818614164
aflcio	10069612	0	0.9701650204688371	-0.31236932919904165
afphq	44209472	0	-1.060370176246023	0.3513855472720431
agcelotto	19916238	0	-1.46711666112824	0.7008077547228763
ahmalcolm	14465607	0	-0.8576772390613638	0.4250050374541703
ajam	1178700896	0	NA	NA
ajenglish	4970411	0	0.879992257650346	0.3643439948460005
alangrayson	41017380	0	0.9854536681980642	-0.2710607204036238
albertbrooks	263292498	0	0.9975219470660853	0.5380859476288123
alexwagner	54208274	0	0.9942536698927722	0.05568359142663813
alfranken	7334402	1	1.0953330927169824	0.26149968564644266
algore	17220934	0	1.0160378751733938	0.46721966447936836
allenwest	237403203	1	-1.3648553033403188	1.4014810244957143
allinwithchris	1286312880	0	1.0658103280109927	0.046987473681623676
alpipkin	25713562	0	-1.5517989864649941	0.9443031523892945
alternet	18851248	0	1.0197161559662433	-0.034097192183850156
amandacarpenter	14844867	0	0.10248068301875615	0.060435332481114934
ambassadorrice	19674502	0	0.8270463229178748	0.14359249710971153
ambjohnbolton	118756393	0	-0.5304560700994934	0.7594516393702117
amnesty	16153562	0	0.9574825341731494	0.35492167951913123
amorc11	15886750	0	-1.4414737670433746	0.6704735480694893
amprog	17171111	0	0.9913830613767473	-0.27748112185542684
amyklobuchar	33537967	1	1.0620535320072626	0.33059507639580915
amymek	954124423	0	-1.3827463385851864	1.038791335262729
anamariecox	11640472	0	1.0049034358600748	0.14201736285337413
andercrenshaw	20209807	1	-0.4308411016647359	-2.839070261973323
andersoncooper	15224867	0	0.9256335575179123	0.6816005081492992
andreatantaros	36452050	0	-1.247407368040968	1.2844749636839232
andrewbreitbart	18280993	0	-1.1333440001861261	0.7053655427037567
andrewluck23	23468661	0	-1.5517013340733257	0.605308748662579
andywendt	11102352	0	-1.3532894265343072	0.7821414638059627
annakendrick47	59949396	0	0.990281608447141	0.8302260059404696
anncoulter	196168350	0	-0.8313976445870128	1.2002780538368416
anncurry	20109973	0	0.8253788715258279	0.4814077283377302
anndromney	263758909	0	-0.8504816890543749	0.8044413323665776
annebayefsky	342894187	0	-1.0917864580144236	0.9430285796718388
ap	51241574	0	0.7862740322089048	0.6141678184025627
appsame	242618658	0	-1.3635931043141325	0.8485122186950148
april_mg	399179578	0	-1.5432807887035462	0.7760528058403174
arcticfox2016	101264587	0	NA	NA
ariannahuff	21982720	0	0.9400827921576592	0.4930873845267805
ariberman	15952856	0	1.0700319089023178	-0.19158496909076236
aridavidusa	40443752	0	-1.4091357103696907	0.7108711629617883
arifleischer	35218566	0	-0.5992667964161287	0.6084849556790405
arimelber	15441965	0	1.0664076775416749	0.16259389550599268
arlenwms	20009204	0	-1.3938426466569755	0.5354065413765519
askgeorge	7356562	0	0.6469905746242298	-1.5518612814282606
assholeofday	1377719425	0	1.0702019498258801	0.12028985875845365
aterkel	15727317	0	0.9167604999832116	-0.3170564009190431
athudd	15722673	0	-1.4697469360902327	0.6757964293322914
austinscottga08	234797704	1	-0.44296989263857584	-2.583661005426661
azizansari	6480682	0	1.0088966104467703	0.8027910567758364
bachusal06	78431501	0	-0.4324248903842459	-2.4213492228009885
bannerite	19088288	0	1.0645533006745433	-0.2789485747006717
barackobama	813286	1	1.002248143425375	0.7667517680628929
barbaraboxer	15939889	1	0.9952261205745531	-0.3633223225566708
barneyfranken	100638300	1	-1.3594796831249432	0.9643663843305573
barracudamama	73657657	0	NA	NA
bbcbreaking	5402612	0	0.8098895995430048	0.6515875514134439
bbcworld	742143	0	0.8332228639502649	0.6409466966696948
benhowe	64088396	0	-0.36265653671992437	0.2129573051050767
benjaminspector	15891841	0	1.0080101995651534	-0.2987779344144313
benjealous	43638469	0	1.0289330332114968	-0.19241292697449291
benshapiro	17995040	0	-0.9077549408854175	1.1992030016856232
bernardgoldberg	27382597	0	-1.218598262080008	0.9325388291989783
betseyross	33811812	0	-1.5281802412236576	0.616101451400779
bettemidler	139823781	0	1.0876966530794367	0.5805384489301908
biggovt	57428429	0	-1.2525919110543449	0.629947321077483
billcassidy	55677432	0	-0.41393058414919776	-0.8565795129716209
billclinton	1330457336	1	0.9950277836973338	0.8005061146930457
billclintonthof	942868836	0	-1.4508024260889603	0.8889351170674443
billgates	50393960	0	0.8106892966358676	0.7384027548519746
billhemmer	21010214	0	-1.1885964313389787	1.1370726821613233
billmaher	19697415	0	1.0191270337010996	0.6799957738683633
billmckibben	21786618	0	1.0644810759032273	0.1120962072575251
billmoyershq	15667291	0	1.0554214441392515	0.013253001781437937
billpostmus	379962842	0	-1.2866141720256092	0.869351595029165
billyhallowell	14282169	0	-1.0510069326308993	0.6514236068489491
billyraybryant	878916812	0	-1.5475737017089435	0.8337837197379478
blackrepublican	18294521	0	-0.950794469182078	0.5174073913943562
bloggingcaesar	41280377	0	-1.436132079059623	0.810019227093409
bluedupage	41186732	0	1.0224833710219432	-0.42667773305420176
bluegrasspundit	21044127	0	-1.3174629589872224	0.562822942433948
bluenredstate	552355237	0	1.060661753203634	-0.3398751334008832
bluewaterdays	24645354	0	-1.4007073724328503	0.8088405656721471
boarhead1	543373179	0	-1.4789158269783373	0.6489251284888633
bobbyjindal	17078632	0	-0.9160680708590121	0.6013095330381265
bobg231	264268489	0	-1.4221838469302406	0.8857337733026113
boblatta	15394954	0	-0.45363566312854686	-2.1006823806330255
boldprogressive	25704351	0	1.0547666494438854	-0.17821899059356833
booyahboyz	361859989	0	-1.521459737052542	0.7684235435274843
borowitzreport	17293897	0	1.0496558696540954	0.36444576319736155
bosshoggusmc	22966253	0	-1.4142972722902196	0.7466471560072203
bradaschenck	15195679	0	0.9839983228785256	-0.2923715238960315
bradmd	24914494	0	-1.3687062043834877	0.4886426957330454
bradsherman	30216513	0	0.7608584001800373	-1.1936337124851395
bradthor	20748745	0	-1.0864585295962488	0.7996806899119144
braveconwarrior	329323059	0	NA	NA
bravelad	16703058	0	-1.1976922219486221	0.9043461686829014
breakingnews	6017542	0	0.5835189280940399	0.6442331428858119
breitbartnews	457984599	0	-1.0907502918243268	1.2528667435615117
bretbaier	18646108	0	-0.9474809741187614	1.104428255930765
brithume	112047805	0	-1.0440591128403782	1.14410367487391
brookingsinst	151106990	0	0.7943030538221268	0.022419307788741235
brucebraley	29293808	1	0.5965619281357191	-0.6500276816560432
buzzfeed	5695632	0	0.9093458299477444	0.6159222696752821
bwilliams	173999134	0	0.8451976655863158	0.330485333950511
byronyork	47739450	0	-1.1023362793850322	0.8510286794878958
cafalk	49388157	0	1.0217358899761415	-0.4621935868844393
callisto1947	208083510	0	NA	NA
callout4	990627116	0	NA	NA
camanpour	69181624	0	0.9227913008962909	0.3245003977183325
candicelanier	107633302	0	-1.3427578159558256	0.6241786643505131
candicemiller	15281676	1	-0.30924537455905193	-2.3332089888223613
candilissa	2987787144	0	-0.7067558141177626	0.3597667554347161
cantwellpress	3143431748	1	NA	NA
capaction	15554922	0	1.0203302984736171	-0.31920860886416313
capehartj	97474887	0	1.0230901863765458	-0.008102729487931054
captivatingnews	292374563	0	0.9403548893092057	-0.3473993687523042
captyonah	376388082	0	-1.4946331997309927	0.8294307573374977
carltoddhand	42304448	0	NA	NA
carrieffisher	75641903	0	0.9502506723126847	0.7196749569759863
carrollstandard	21343653	0	-1.3801717601984227	0.8408148303621245
cathymcmorris	17976923	1	-0.47189829923638077	-1.0968105547405693
catoinstitute	15450996	0	-0.5498459461005828	0.3807748830723807
catwahler	88494677	0	-1.502758216253665	0.846949484726592
cbrangel	21312077	1	0.7589150680546172	-1.2243779614935073
cbsnews	15012486	0	0.72092872784695206	0.5562141353628016
cecilerichards	17011177	0	1.0919197666311424	0.0679891704416907
chakafattah	48086014	0	0.7451116115487332	-1.3368758745889597
change	15947602	0	0.8963629177469885	0.4398984991315578
charlesmblow	20772763	0	1.1019411359313769	0.1879821365580681
charlesmunn1	379869831	0	0.8848503491846905	-0.15285162203137323
charliedaniels	23798694	0	-1.2977527930950077	1.1554825962316042
chasd3	42834939	0	-1.517143927840308	0.6902542442884363
chelliepingree	14984637	1	0.8726239199061622	-1.0677618538603972
chelseaclinton	757303975	0	1.0638677410765067	0.607905503916289
cher	124003770	0	1.0210094284404845	0.6183990633254668
chris_1791	312149882	0	-1.355221151496904	0.8604185650380795
chriscoons	15324851	1	0.8072895017356352	-1.0258756909387179
chriscuomo	22799750	0	0.9701213570755484	0.4709500337454401
chrisjzullo	321774180	0	1.0733866694657717	-0.12225394267907168
chrislhayes	4207961	0	1.0666355403950323	0.4136114791554561
chrisloesch	491461409	0	-1.391252598675481	0.993183209219683
chrismurphyct	150078976	1	1.0693182378779724	-0.04309814661959607
chrisrock	238319766	0	0.9499318387894833	0.7439075814341745
christichat	732980827	0	NA	NA
chrisvanhollen	18137749	1	0.8801651343399072	-1.0373520662556148
chuckgrassley	10615232	1	-0.6084369552117213	0.3618000169868361
chucknellis	315878798	0	NA	NA
chucktodd	50325797	0	0.8570787938462602	0.3309634069591701
chuckwoolery	462104542	0	-1.3609684361854186	1.2738174083929295
citizensrock	271030180	0	1.0579406136253504	-0.4211284459532819
clairecmc	16160352	1	0.9913172740991426	-0.14831933666119418
clintonfdn	75069067	0	1.0086148696233308	0.41290482205337936
clintonglobal	68999404	0	0.9712663020563902	0.31427101406421465
clyburn	188019606	1	0.9261888498857149	-0.7139766102456622
cnbc	20402945	0	0.6022133292692298	0.5076771255011734
cnn	759251	0	0.8717586865454292	0.733756862320729
cnnbrk	428333	0	0.8312708703146972	0.7310685507619703
cnnmoney	16184358	0	0.6283535698850747	0.5140802709038644
collchris	20414217	0	0.6727546747053366	0.3695148314402128
collegedems	19824430	0	0.9420951545118383	-0.4332477219151853
colorofchange	27793335	0	1.1304642150198791	0.16038344291993134
conanobrien	115485051	0	0.8903549429649381	0.7935915404772818
concreteczar	260920107	0	-1.4878033004470184	0.8805276005096968
congbillposey	25086658	1	-0.47291323976225197	-2.198330573393616
congculberson	24183358	1	NA	NA
conghuelskamp	233761277	1	-0.886463691082856	-1.4384908173958404
congpalazzo	299883942	1	-0.48437109367468373	-2.5190174007348385
congressmandan	242761889	1	-0.804392124305822	-1.2308349220148007
