screen_name	user_id	politician	phi	phi_2
_wyattstorch	109782727	0	-1.4464525835271382	-0.8787200089700566
140elect	15259328	0	NA	NA
2nd_to_none	842217397	0	-1.4185186572743362	-0.8188142344635957
3quarters2day	33079769	0	-1.1435453111203533	-0.9333871548434401
aacons	25770408	0	-1.3809892828520394	-0.5128672380476885
aaronrobinow	632466068	0	-1.3828133214087588	-0.8742053742083173
abc	28785486	0	0.710292510497879	-0.540635137321715
abfalecbaldwin	288452305	0	1.0564688901302444	-0.5027551366811456
aclu	13393052	0	1.1730044972711255	-0.32104669504308475
actuallynph	90420314	0	0.9887407703695403	-0.6767764090604389
adambaldwin	91279573	0	-1.0170507405020819	-1.036147618053723
adamgreenpress	325118816	0	1.0706784029613352	0.07430747042897273
aei	30864583	0	-0.42417695675425743	-0.07320355004012477
aflcio	10069612	0	1.0059005483981187	0.2980718241719243
afphq	44209472	0	-1.0524085849937979	-0.45945738387089213
agcelotto	19916238	0	-1.4449835103337412	-0.8074669253938552
ahmalcolm	14465607	0	-0.8381976649667591	-0.415759862711511
ajam	1178700896	0	0.9592136177871654	-0.23474496028986672
ajenglish	4970411	0	0.9000963285823298	-0.32883385196667764
alangrayson	41017380	0	1.0363070725089936	0.16356650204325104
albertbrooks	263292498	0	1.024732930632579	-0.4857066336787051
alexwagner	54208274	0	1.0351940685727008	-0.09080248865687952
alfranken	7334402	1	1.1518411722878252	-0.22015561920323065
algore	17220934	0	1.0520770027162212	-0.4117467284060248
allenwest	237403203	1	-1.2686814300562006	-1.441260610585111
allinwithchris	1286312880	0	1.1185060544949512	-0.09200613723581177
alpipkin	25713562	0	-1.4802146160679288	-0.767567658333929
alternet	18851248	0	1.0857389946884626	0.02398248656187852
amandacarpenter	14844867	0	-0.5637546512191692	-0.3457305910608247
ambassadorrice	19674502	0	0.8753646533085869	-0.21133691832627163
ambjohnbolton	118756393	0	-1.213858116454947	-1.107471042964904
amnesty	16153562	0	0.9988657837254323	-0.35049980112113766
amorc11	15886750	0	-1.4390817328290464	-0.7665948180903301
amprog	17171111	0	1.0398849966029466	0.2457234776043323
amyklobuchar	33537967	1	1.053968637639078	0.11317040855807031
amymek	954124423	0	-1.2567843662156797	-1.0676838470046306
anamariecox	11640472	0	1.049457936786894	-0.12659765517868568
andercrenshaw	20209807	1	-0.45534348851483597	2.4855472184584553
andersoncooper	15224867	0	0.9328685853852318	-0.5754969834425194
