source	meta_id	user_id	screen_name	phi	phi_2	followers	voteview_id	nominate_dim1	nominate_dim2	party_code	party	chamber
members_of_congress	MS11741301	357606935	ewarren	-0.8256805582616459	-1.3978421519985365	142085	41301	-0.769	-0.308	100	Democrat	Senate
members_of_congress	MS11741301	970207298	senwarren	-0.8256805582616459	-1.3978421519985365	142085	41301	-0.769	-0.308	100	Democrat	Senate
members_of_congress	MS11741300	1068481578	senangusking	-0.5063341978827369	0.9091548978657351	3664	41300	-0.158	-0.224	328	Independent	Senate
members_of_congress	MS11741112	1262099252	senbrianschatz	-0.8281797211070668	0.021439923192559086	11631	41112	-0.443	-0.112	100	Democrat	Senate
members_of_congress	MS11741112	47747074	brianschatz	-0.8281797211070668	0.021439923192559086	11631	41112	-0.443	-0.112	100	Democrat	Senate
members_of_congress	MS11741111	142332083	ronjohnsonwi	0.8563950288182804	0.6610056995898698	3324	41111	0.594	-0.271	200	Republican	Senate
members_of_congress	MS11741111	233737858	senronjohnson	0.8563950288182804	0.6610056995898698	3324	41111	0.594	-0.271	200	Republican	Senate
members_of_congress	MS11741110	88784440	senmikelee	1.2663294970094081	-0.6891531434172548	10413	41110	0.913	-0.408	200	Republican	Senate
members_of_congress	MS11741107	382791093	senjohnhoeven	0.42867777654656464	1.8123284917470195	1832	41107	0.351	0.341	200	Republican	Senate
members_of_congress	MS11741104	216881337	randpaul	1.0703770707326652	-1.2837024152337593	34804	41104	0.876	-0.482	200	Republican	Senate
members_of_congress	MS11741102	15745368	marcorubio	0.7938200780939229	-1.2186059231519162	41512	41102	0.581	-0.269	200	Republican	Senate
members_of_congress	MS11741101	278124059	senblumenthal	-0.7155728818836561	0.32847147174355823	10476	41101	-0.439	-0.163	100	Democrat	Senate
members_of_congress	MS11740916	15324851	chriscoons	-0.550732470060061	1.029787933432303	3926	40916	-0.229	-0.217	100	Democrat	Senate
members_of_congress	MS11740915	234374703	sen_joemanchin	0.041914733144329655	0.8318153873914874	3733	40915	-0.056	0.443	100	Democrat	Senate
members_of_congress	MS11740910	45645232	michaelbennet	-0.64776677845731	0.33129533541091677	6792	40910	-0.228	-0.18	100	Democrat	Senate
members_of_congress	MS11740910	224285242	senatorbennet	-0.64776677845731	0.33129533541091677	6792	40910	-0.228	-0.18	100	Democrat	Senate
members_of_congress	MS11740909	7429102	markwarner	-0.6292125951879906	0.48829753247796237	8024	40909	-0.202	-0.035	100	Democrat	Senate
members_of_congress	MS11740908	29201047	senjeffmerkley	-0.747535804384273	0.3709147207946068	11640	40908	-0.44	-0.742	100	Democrat	Senate
members_of_congress	MS11740908	223166587	jeffmerkley	-0.747535804384273	0.3709147207946068	11640	40908	-0.44	-0.742	100	Democrat	Senate
members_of_congress	MS11740906	109287731	senatorshaheen	-0.4630531564889296	1.3663245554872354	2481	40906	-0.237	-0.143	100	Democrat	Senate
members_of_congress	MS11740902	1096059529	senatorrisch	0.4215548614571122	1.949433856987411	1574	40902	0.614	0.546	200	Republican	Senate
members_of_congress	MS11740707	202206694	senjohnbarrasso	0.7270183961273992	1.5054789264602	2265	40707	0.543	0.245	200	Republican	Senate
members_of_congress	MS11740704	242555999	senwhitehouse	-0.7279926725660992	0.5780515785948201	8026	40704	-0.355	-0.078	100	Democrat	Senate
members_of_congress	MS11740703	171598736	senbobcasey	-0.5807842668139089	0.5251564077198491	6118	40703	-0.315	0.193	100	Democrat	Senate
members_of_congress	MS11740702	515822213	senatortester	-0.5183953879731332	0.9005062367107661	1903	40702	-0.215	0.144	100	Democrat	Senate
members_of_congress	MS11740700	33537967	amyklobuchar	-0.7770267022138284	-0.698189290214547	30909	40700	-0.285	-0.379	100	Democrat	Senate
members_of_congress	MS11740700	22044727	senamyklobuchar	-0.7770267022138284	-0.698189290214547	30909	40700	-0.285	-0.379	100	Democrat	Senate
members_of_congress	MS11740305	13218102	johncornyn	1.002141188424004	-0.06182547012404517	5981	40305	0.49	-0.011	200	Republican	Senate
members_of_congress	MS11740300	18061669	lisamurkowski	-0.22076235715585732	0.43722118556043865	6859	40300	0.212	-0.286	200	Republican	Senate
members_of_congress	MS11739310	117501995	senatorcantwell	-0.646612346144456	0.686084085741792	4263	39310	-0.304	-0.42	100	Democrat	Senate
members_of_congress	MH11739307	161791703	bobbyscott	-0.496658564891395	1.6876358769500854	1248	39307	-0.45	0.016	100	Democrat	House
members_of_congress	MH11739305	168502762	repebj	-0.514522918918178	1.7013210369329808	1058	39305	-0.485	0.203	100	Democrat	House
members_of_congress	MH11739301	188019606	whipclyburn	-0.6744492670599441	0.7373448798821617	3876	39301	-0.464	0.254	100	Democrat	House
members_of_congress	MH11731103	1155335864	repdonaldpayne	-0.4585576485596593	2.078221635267196	548	31103	-0.517	-0.099	100	Democrat	House
members_of_congress	MH11731102	975200486	repthomasmassie	1.2716319026110223	-0.5018665331904325	3302	31102	0.681	-0.732	200	Republican	House
members_of_congress	MH11731101	995193054	repdelbene	-0.5645755012650581	1.5222866982371999	888	31101	-0.282	-0.228	100	Democrat	House
members_of_congress	MS11729940	87510313	tammybaldwin	-0.6781379786256042	0.4818942856584911	4598	29940	-0.493	-0.139	100	Democrat	Senate
members_of_congress	MS11729940	1074518754	senatorbaldwin	-0.6781379786256042	0.4818942856584911	4598	29940	-0.493	-0.139	100	Democrat	Senate
members_of_congress	MS11729935	221162525	sentoomey	0.15793681003907847	0.802584587368189	3270	29935	0.64	-0.3	200	Republican	Senate
members_of_congress	MH11729911	24195214	janschakowsky	-0.68454760147343785	1.1099327156931604	1779	29911	-0.606	-0.269	100	Democrat	House
members_of_congress	MH11729910	76132891	congmikesimpson	0.41446021816093703	2.415880759507146	393	29910	0.297	0.286	200	Republican	House
members_of_congress	MH11729908	50452197	repjohnlarson	-0.49720668151483904	1.8052950391203002	830	29908	-0.397	-0.051	100	Democrat	House
members_of_congress	MH11729903	161411080	gracenapolitano	-0.4897452072931428	2.382949564138868	947	29903	-0.448	-0.247	100	Democrat	House
members_of_congress	MH11729901	303861808	repthompson	-0.4972508790701778	2.0154428352954743	881	29901	-0.395	0.066	100	Democrat	House
members_of_congress	MH11729778	248735463	repbarbaralee	-0.8332698833733342	0.27169427859533035	9274	29778	-0.682	-0.587	100	Democrat	House
members_of_congress	MH11729776	22812754	repgregorymeeks	-0.5195628832586402	1.7669942053646281	988	29776	-0.413	-0.074	100	Democrat	House
members_of_congress	MH11729769	112740986	repronkind	-0.3342155503809388	1.6961384683946963	583	29769	-0.261	-0.081	100	Democrat	House
members_of_congress	MH11729768	58928690	repadamsmith	-0.5557719907967696	1.5415965122614093	1212	29768	-0.285	-0.162	100	Democrat	House
members_of_congress	MH11729762	161743731	repkaygranger	0.728264391977435	2.145489121065941	527	29762	0.398	0.238	200	Republican	House
members_of_congress	MH11729760	19926675	repkevinbrady	1.184509697196177	1.2626117893861177	1270	29760	0.523	0.219	200	Republican	House
members_of_congress	MH11729759	24735461	petesessions	0.8527538201638557	1.7832747496090466	830	29759	NA	NA	NA	Independent	House
members_of_congress	MS11729754	296361085	senjohnthune	0.7864676910156403	1.1130384986070745	2535	29754	0.413	0.138	200	Republican	Senate
members_of_congress	MH11729741	74508260	billpascrell	-0.7308499197400947	0.8540010015164263	2183	29741	-0.367	-0.005	100	Democrat	House
members_of_congress	MS11729735	21269970	royblunt	0.5161829343701768	1.3082179169385666	2644	29735	0.421	0.259	200	Republican	Senate
members_of_congress	MS11729732	20113797	stabenow	-0.5889418123631207	0.6585439087859507	3989	29732	-0.343	-0.013	100	Democrat	Senate
members_of_congress	MS11729732	76456274	senstabenow	-0.5889418123631207	0.6585439087859507	3989	29732	-0.343	-0.013	100	Democrat	Senate
members_of_congress	MH11729729	242426145	repmcgovern	-0.6928965284130556	0.9504444615758173	2148	29729	-0.539	-0.304	100	Democrat	House
members_of_congress	MS11729722	18632666	jerrymoran	0.419910448778069	1.6424943690648381	1973	29722	0.412	0.206	200	Republican	Senate
members_of_congress	MH11729717	789244177	repdannydavis	-0.5319019271463477	1.8806522091063471	462	29717	-0.486	-0.262	100	Democrat	House
members_of_congress	MH11729710	28599820	repdianadegette	-0.5113764705854115	1.0997777352401734	1527	29710	-0.431	-0.31	100	Democrat	House
members_of_congress	MH11729707	30216513	bradsherman	-0.5171497951428384	1.5733024549839025	1234	29707	-0.342	-0.147	100	Democrat	House
members_of_congress	MH11729701	76452765	robert_aderholt	0.7925396860631595	2.8000813725905638	554	29701	0.372	0.589	200	Republican	House
members_of_congress	MH11729588	15954997	repblumenauer	-0.6902721706726916	0.8628979713056051	2198	29588	-0.428	-0.67	100	Democrat	House
members_of_congress	MH11729573	80612021	jacksonleetx18	-0.6261610327369721	1.0409237237398927	2860	29573	-0.46	0.127	100	Democrat	House
members_of_congress	MH11729571	153944899	replloyddoggett	-0.5188765887337723	0.8789209122097127	1226	29571	-0.402	-0.313	100	Democrat	House
members_of_congress	MS11729566	432895323	lindseygrahamsc	1.0954345517174298	-1.3215152773246286	24799	29566	0.403	-0.17	200	Republican	Senate
members_of_congress	MS11729566	14845376	grahamblog	1.0954345517174298	-1.3215152773246286	24799	29566	0.403	-0.17	200	Republican	Senate
members_of_congress	MH11729561	39249305	usrepmikedoyle	-0.41324618456044315	1.3811781511564982	620	29561	-0.331	0.111	100	Democrat	House
members_of_congress	MH11729550	237750442	repstevechabot	0.7627297577374643	2.2592833688960363	734	29550	0.567	-0.197	200	Republican	House
members_of_congress	MS11729548	21157904	senatorburr	0.23957698530026894	0.9353162016509832	3456	29548	0.446	-0.053	200	Republican	Senate
members_of_congress	MS11729534	264219447	senatorwicker	0.5348242205413327	1.8993677440589518	1598	29534	0.379	0.355	200	Republican	Senate
members_of_congress	MH11729504	267938462	repzoelofgren	-0.6377997379938117	1.5068234788409038	1864	29504	-0.402	-0.444	100	Democrat	House
members_of_congress	MH11729393	242772524	repfranklucas	0.6743876559650633	2.3365423375590657	335	29393	0.363	0.42	200	Republican	House
members_of_congress	MS11729389	24768753	sherrodbrown	-0.7026611459864255	0.1764048272403068	11294	29389	-0.428	-0.11	100	Democrat	Senate
members_of_congress	MS11729389	43910797	sensherrodbrown	-0.7026611459864255	0.1764048272403068	11294	29389	-0.428	-0.11	100	Democrat	Senate
members_of_congress	MS11729386	18915145	senrobportman	0.31655632320704535	0.7238546152746727	3702	29386	0.368	-0.233	200	Republican	Senate
members_of_congress	MH11729379	258900199	repmaloney	-0.7338389209367794	0.8543601687108071	2756	29379	-0.387	-0.28	100	Democrat	House
members_of_congress	MH11729379	119250381	carolynbmaloney	-0.7338389209367794	0.8543601687108071	2756	29379	-0.387	-0.28	100	Democrat	House
members_of_congress	MH11729378	164369297	nydiavelazquez	-0.7503343568211182	0.6817536217753901	2612	29378	-0.547	-0.34	100	Democrat	House
members_of_congress	MH11729377	40302336	repjerrynadler	-0.7874107082432863	0.09834405324317132	10012	29377	-0.508	-0.503	100	Democrat	House
members_of_congress	MS11729373	18695134	senatormenendez	-0.5025649335923442	0.7336422721707492	3761	29373	-0.366	-0.124	100	Democrat	Senate
members_of_congress	MH11729368	82453460	benniegthompson	-0.4542075040272608	1.868119450108329	577	29368	-0.516	0.399	100	Democrat	House
members_of_congress	MH11729346	305216911	repbobbyrush	-0.6345743557191605	1.3918328648485	1050	29346	-0.479	-0.203	100	Democrat	House
members_of_congress	MS11729345	600463589	mikecrapo	0.4830314160602625	1.808409255293754	1844	29345	0.51	0.301	200	Republican	Senate
members_of_congress	MH11729339	249410485	sanfordbishop	-0.33904572143613787	2.5552832247359243	547	29339	-0.283	0.463	100	Democrat	House
members_of_congress	MH11729323	22545491	kencalvert	0.5955924219338655	2.5050913146838076	435	29323	0.35	0.223	200	Republican	House
members_of_congress	MH11729317	479872233	reproybalallard	-0.4559211974551755	2.3376825828163263	812	29317	-0.47	-0.185	100	Democrat	House
members_of_congress	MH11729312	249348006	repannaeshoo	-0.5625427469718066	1.6811910183580667	1517	29312	-0.381	-0.425	100	Democrat	House
members_of_congress	MS11729147	29442313	sensanders	-0.7608572233098974	-1.4880200513269475	171866	29147	-0.529	-0.392	328	Independent	Senate
members_of_congress	MS11729147	216776631	berniesanders	-0.7608572233098974	-1.4880200513269475	171866	29147	-0.529	-0.392	328	Independent	Senate
members_of_congress	MS11729142	486694111	senjackreed	-0.48091613858952653	1.391594269241672	2162	29142	-0.367	-0.171	100	Democrat	Senate
members_of_congress	MH11729109	140519774	rosadelauro	-0.6535739282216838	1.115651619812569	1653	29109	-0.416	-0.117	100	Democrat	House
members_of_congress	MH11729106	36686040	repmaxinewaters	-0.8676002753752621	-0.7403366263377361	36820	29106	-0.653	-0.071	100	Democrat	House
members_of_congress	MH11722156	36424664	nikemawilliams	-0.8441542732842162	0.4131834700557544	933	22156	NA	NA	NA	Independent	House
members_of_congress	MH11722156	1345461797361504259	repnikema	-0.8441542732842162	0.4131834700557544	933	22156	NA	NA	NA	Independent	House
members_of_congress	MH11722155	489856457	bethvanduyne	1.7211131441205716	-0.41458984907892	337	22155	NA	NA	NA	Independent	House
members_of_congress	MH11722155	1339633259349745670	repbethvanduyne	1.7211131441205716	-0.41458984907892	337	22155	NA	NA	NA	Independent	House
members_of_congress	MH11722154	1247612029	ritchietorres	-0.8086175390461752	-0.022011431757812092	1934	22154	NA	NA	NA	Independent	House
members_of_congress	MH11722154	1276403757224546304	repritchie	-0.8086175390461752	-0.022011431757812092	1934	22154	NA	NA	NA	Independent	House
members_of_congress	MH11722153	1343646545955213312	repstricklandwa	-0.7340613092246592	0.7926541218964431	97	22153	NA	NA	NA	Independent	House
members_of_congress	MH11722153	1206654366758785024	stricklandforwa	-0.7340613092246592	0.7926541218964431	97	22153	NA	NA	NA	Independent	House
members_of_congress	MH11722152	1122934522134315009	michellesteelca	1.7636731909659589	-0.5230752404034523	216	22152	NA	NA	NA	Independent	House
members_of_congress	MH11722152	1343740146630451200	repsteel	1.7636731909659589	-0.5230752404034523	216	22152	NA	NA	NA	Independent	House
members_of_congress	MH11722151	1205364420	victoria_spartz	1.6293610417639686	-0.33166886212476976	75	22151	NA	NA	NA	Independent	House
members_of_congress	MH11722151	1344845201479663621	repspartz	1.6293610417639686	-0.33166886212476976	75	22151	NA	NA	NA	Independent	House
members_of_congress	MH11722150	40282700	maelvirasalazar	1.680448420537198	-1.1779746207175232	1330	22150	NA	NA	NA	Independent	House
members_of_congress	MH11722150	1325928411689349120	repmariasalazar	1.680448420537198	-1.1779746207175232	1330	22150	NA	NA	NA	Independent	House
members_of_congress	MH11722149	3806081652	deborahrossnc	-0.6487501093851266	0.3516565752239094	370	22149	NA	NA	NA	Independent	House
members_of_congress	MH11722149	1348683154815655940	repdeborahross	-0.6487501093851266	0.3516565752239094	370	22149	NA	NA	NA	Independent	House
members_of_congress	MH11722148	1344751420139040783	reprosendale	NA	NA	1	22148	NA	NA	NA	Independent	House
members_of_congress	MH11722147	1021216905795899392	augustpfluger	2.0157055962428494	-0.005610037418574146	84	22147	NA	NA	NA	Independent	House
members_of_congress	MH11722147	1341120751399809026	reppfluger	2.0157055962428494	-0.005610037418574146	84	22147	NA	NA	NA	Independent	House
members_of_congress	MH11722146	779104195	burgessowens	2.001190238522806	-1.552646987436278	4218	22146	NA	NA	NA	Independent	House
members_of_congress	MH11722146	1344481217685692416	repburgessowens	2.001190238522806	-1.552646987436278	4218	22146	NA	NA	NA	Independent	House
members_of_congress	MH11722145	272482466	jayobernolte	0.33476080250833856	0.7367615936341806	222	22145	NA	NA	NA	Independent	House
members_of_congress	MH11722145	1291597452357771264	teamobernolte	0.33476080250833856	0.7367615936341806	222	22145	NA	NA	NA	Independent	House
members_of_congress	MH11722144	1343578440977494018	repmarienewman	NA	NA	0	22144	NA	NA	NA	Independent	House
members_of_congress	MH11722143	3299995136	sherifftnehls	1.20474599517227	-0.7155944990360653	293	22143	NA	NA	NA	Independent	House
members_of_congress	MH11722143	1347318288850825217	reptroynehls	1.20474599517227	-0.7155944990360653	293	22143	NA	NA	NA	Independent	House
members_of_congress	MH11722142	1346205046036377601	repmrvan	NA	NA	0	22142	NA	NA	NA	Independent	House
members_of_congress	MH11722141	1337452596093587462	repblakemoore	NA	NA	0	22141	NA	NA	NA	Independent	House
members_of_congress	MH11722140	1339006078688825344	repbarrymoore	NA	NA	0	22140	NA	NA	NA	Independent	House
members_of_congress	MH11722139	1345807954604412929	repmmm	1.2817666351234716	0.16160169685459874	158	22139	NA	NA	NA	Independent	House
members_of_congress	MH11722139	18131106	millermeeks	1.2817666351234716	0.16160169685459874	158	22139	NA	NA	NA	Independent	House
members_of_congress	MH11722138	1343656635907125250	repmarymiller	NA	NA	0	22138	NA	NA	NA	Independent	House
members_of_congress	MH11722137	1334164871420796928	repmeijer	NA	NA	0	22137	NA	NA	NA	Independent	House
members_of_congress	MH11722136	1344032292432437248	replisamcclain	NA	NA	0	22136	NA	NA	NA	Independent	House
members_of_congress	MH11722135	936626346553413633	kathymanningnc	-0.7695757072358493	1.0233366760722107	240	22135	NA	NA	NA	Independent	House
members_of_congress	MH11722135	1337115670161608712	repkmanning	-0.7695757072358493	1.0233366760722107	240	22135	NA	NA	NA	Independent	House
members_of_congress	MH11722134	1345825008887721986	repmann	NA	NA	0	22134	NA	NA	NA	Independent	House
members_of_congress	MH11722133	757862089	nmalliotakis	1.151769949518994	-0.6118492362918291	1377	22133	NA	NA	NA	Independent	House
members_of_congress	MH11722133	1344750588026900481	repmalliotakis	1.151769949518994	-0.6118492362918291	1377	22133	NA	NA	NA	Independent	House
members_of_congress	MH11722132	914815520842616834	nancymace	1.6117623003126562	-0.24368715012731196	481	22132	NA	NA	NA	Independent	House
members_of_congress	MH11722132	1343597700542038017	repnancymace	1.6117623003126562	-0.24368715012731196	481	22132	NA	NA	NA	Independent	House
members_of_congress	MH11722131	1345147845926670337	repteresalf	-0.8950738927905056	0.7056721850175303	129	22131	NA	NA	NA	Independent	House
members_of_congress	MH11722131	1128147829606600706	teresafornm	-0.8950738927905056	0.7056721850175303	129	22131	NA	NA	NA	Independent	House
members_of_congress	MH11722130	1082329240681492481	jakelaturner	1.256447165226955	1.1267247627007058	45	22130	NA	NA	NA	Independent	House
