"","source","meta_id","user_id","screen_name"
"112","members_of_congress","MH11729504","267938462","repzoelofgren"
"113","members_of_congress","MH11729393","242772524","repfranklucas"
"114","members_of_congress","MS11729389","24768753","sherrodbrown"
"115","members_of_congress","MS11729389","43910797","sensherrodbrown"
"116","members_of_congress","MS11729386","18915145","senrobportman"
"117","members_of_congress","MH11729379","258900199","repmaloney"
"118","members_of_congress","MH11729379","119250381","carolynbmaloney"
"119","members_of_congress","MH11729378","164369297","nydiavelazquez"
"120","members_of_congress","MH11729377","40302336","repjerrynadler"
"121","members_of_congress","MS11729373","18695134","senatormenendez"
"122","members_of_congress","MH11729368","82453460","benniegthompson"
"123","members_of_congress","MH11729346","305216911","repbobbyrush"
"124","members_of_congress","MS11729345","600463589","mikecrapo"
"125","members_of_congress","MH11729339","249410485","sanfordbishop"
"126","members_of_congress","MH11729323","22545491","kencalvert"
"127","members_of_congress","MH11729317","479872233","reproybalallard"
"128","members_of_congress","MH11729312","249348006","repannaeshoo"
"129","members_of_congress","MS11729147","29442313","sensanders"
"130","members_of_congress","MS11729147","216776631","berniesanders"
"131","members_of_congress","MS11729142","486694111","senjackreed"
"132","members_of_congress","MH11729109","140519774","rosadelauro"
"133","members_of_congress","MH11729106","36686040","repmaxinewaters"
"134","members_of_congress","MH11722156","36424664","nikemawilliams"
"135","members_of_congress","MH11722156","1345461797361504259","repnikema"
"136","members_of_congress","MH11722155","489856457","bethvanduyne"
"137","members_of_congress","MH11722155","1339633259349745670","repbethvanduyne"
"138","members_of_congress","MH11722154","1247612029","ritchietorres"
"139","members_of_congress","MH11722154","1276403757224546304","repritchie"
"140","members_of_congress","MH11722153","1343646545955213312","repstricklandwa"
"141","members_of_congress","MH11722153","1206654366758785024","stricklandforwa"
"142","members_of_congress","MH11722152","1122934522134315009","michellesteelca"
"143","members_of_congress","MH11722152","1343740146630451200","repsteel"
"144","members_of_congress","MH11722151","1205364420","victoria_spartz"
"145","members_of_congress","MH11722151","1344845201479663621","repspartz"
"146","members_of_congress","MH11722150","40282700","maelvirasalazar"
"147","members_of_congress","MH11722150","1325928411689349120","repmariasalazar"
"148","members_of_congress","MH11722149","3806081652","deborahrossnc"
"149","members_of_congress","MH11722149","1348683154815655940","repdeborahross"
"150","members_of_congress","MH11722148","1344751420139040783","reprosendale"
"151","members_of_congress","MH11722147","1021216905795899392","augustpfluger"
"152","members_of_congress","MH11722147","1341120751399809026","reppfluger"
"153","members_of_congress","MH11722146","779104195","burgessowens"
"154","members_of_congress","MH11722146","1344481217685692416","repburgessowens"
"155","members_of_congress","MH11722145","272482466","jayobernolte"
"156","members_of_congress","MH11722145","1291597452357771264","teamobernolte"
"157","members_of_congress","MH11722144","1343578440977494018","repmarienewman"
"158","members_of_congress","MH11722143","3299995136","sherifftnehls"
"159","members_of_congress","MH11722143","1347318288850825217","reptroynehls"
"160","members_of_congress","MH11722142","1346205046036377601","repmrvan"
"161","members_of_congress","MH11722141","1337452596093587462","repblakemoore"
"162","members_of_congress","MH11722140","1339006078688825344","repbarrymoore"
"163","members_of_congress","MH11722139","1345807954604412929","repmmm"
"164","members_of_congress","MH11722139","18131106","millermeeks"
"165","members_of_congress","MH11722138","1343656635907125250","repmarymiller"
"166","members_of_congress","MH11722137","1334164871420796928","repmeijer"
"167","members_of_congress","MH11722136","1344032292432437248","replisamcclain"
"168","members_of_congress","MH11722135","936626346553413633","kathymanningnc"
"169","members_of_congress","MH11722135","1337115670161608712","repkmanning"
"170","members_of_congress","MH11722134","1345825008887721986","repmann"
"171","members_of_congress","MH11722133","757862089","nmalliotakis"
"172","members_of_congress","MH11722133","1344750588026900481","repmalliotakis"
"173","members_of_congress","MH11722132","914815520842616834","nancymace"
"174","members_of_congress","MH11722132","1343597700542038017","repnancymace"
"175","members_of_congress","MH11722131","1345147845926670337","repteresalf"
