screen_name	user_id
tomperriello	14384907
senbobcasey	171598736
repspeier	24913074
repseanduffy	234022257
stabenow	20113797
sencarllevin	93761782
senatorsnowe	243797058
senrockefeller	273559002
sen_joemanchin	234374703
sendancoats	212262370
repjimmcdermott	132201224
replouiegohmert	22055226
randyneugebauer	34340464
mcconnellpress	339822881
repjimmatheson	46016028
senjohnbarrasso	202206694
repcleaver	163570705
zachwamp	18905115
a_grossman	19787735
aamerismad	15896580
aaronback	28289402
aaronblakewp	136300373
aaronkatersky	125358141
abbieboudreau	145700339
abc	28785486
abcnewsfixer	14957139
abcnewslive	384438102
abhabhattarai	19343547
acarvin	778057
acomak	128727401
adamhousley	16073043
adamliptak	29607664
addedvalueth	21792943
aellick	42467881
aiming2retire	121596471
akikofujita	27427798
akinkhabwala	71468442
alancolmes	14924233
alangomez	16413730
alexjwallace	17296996
alicedubois	39040115
alicetruong	16717239
aliciaybarbo	25780932
alisonannyoung	25924156
allinwithchris	1286312880
alphaconsumer	15171577
alroker	16379018
amy_harmon	16227629
anblanx	17314616
andrewrsorkin	33792634
andylocal	20095865
annawmathews	38317061
annderry	30202028
annenbcnews	111045930
anupkaphle	14534827
aoscott	109275829
arishapiro	37999041
armenketeyian	31464562
arobach	284991184
artsbeat	843592945
ashleypowers	16192333
ashleyrparker	33919343
atiaabawi	17028306
aymanm	23588075
b0yle	13691782
barbarademick	27571535
barbarajwalters	33514869
barbdelollis	20166278
benfowlkesmma	126191899
benjrooney	60842743
benshpigel	46758606
betty_nguyen	16529278
biancorobert	624870594
biannagolodryga	14135350
billhemmer	21010214
billmpennington	28631509
billweirabc	33515703
binkleyonstyle	27160098
bittman	20778387
blaustein	16561730
bnightengale	41646662
bobschieffer	18776942
bobwoodruff	27090222
boothwilliam	47336158
bostonlara	126348719
brady_dennis	167494170
breakingla	97564235
brian_mansfield	14934063
briancostawsj	39092709
brianross	80380326
brianstelter	14515799
briantruitt	15358421
brookebrower	46662081
brucehorovitz	67339306
bryanrwalsh	84445191
bspegele	55919026
businessed	15483031
bworley	14749486
bydanielvictor	11545652
byhiestand	277611224
byjimcorbett	172533836
byjoefleming	27959866
byjoshbarnett	47196712
bykevinallen	45114730
byronacohido	41677142
byronpitts	19023793
caitlindewey	21540556
camanpour	69181624
candace_jackson	26329367
canningandrea	23783240
capehartj	97474887
carr2n	24773177
carrienbcnews	21027715
caseystegall	266084180
catherine_mayer	18502766
cathyhorynnyt	105189289
cbrennansports	25844225
cbsandrew	30003842
cbseveningnews	42958829
cbshealth	10791192
cbsmccormick	188412002
cbsmmiller	40303521
cbsnews	15012486
cbsnewslivefeed	28351033
cbsnewspress	331211313
cbsthismorning	17134268
charlesforelle	334926329
charlesmblow	20772763
charlie_savage	16172747
charliekayecbs	40711814
chaughney	37029298
chaztopher	26389783
chrishansen	9783492
chrismegerian	31532083
christophjoyce	16224705
chriswoodyard	28351096
chriswragge	90746809
chuckatnpr	129295928
chuckculpepper1	47318101
chucktodd	50325797
cjchivers	189180763
cjfarley	17205434
clairecm	17877122
clarissaward	22760252
clayton_sandell	60923421
claytonmorris	14331688
clgrossman	55638250
comradewong	39030654
coopnytimes	65431946
coreykilgannon	72667138
courtneyfriel	15501934
courtneyhazlett	21384333
craigmelvin	33972882
crampell	14348157
cruiselog	19398978
csdickey	17645400
csmonitor	14857525
cynthiamcfadden	20166674
dabeard	28279637
dafnalinzer	135173872
daiwaka	14805740
damianpaletta	115718513
damiencave	15840979
danabrams	21023681
danamattioli	23892927
danbalz	59676104
danbarbarisi	130546600
danbharris	18638502
daniellebel	17910058
daniellemattoon	76663193
danielschorr	21930447
dannyhakim	74519287
danraviv	19083676
dansaltzstein	37104983
danwolken	23973831
darrenrovell	24277551
davebriggstv	22276141
davidenrich	185270017
davidfg	14763721
davidfolkenflik	11621822
davidgregory	20608910
davidjoachim	36510873
davidlaz	21328006
davidmastio	14327663
